Date,Open,High,Low,Close,Adj Close,Volume
2021-11-04,2616.25,2616.25,2616.25,2616.25,2616.25,0
2021-11-05,2595.75,2595.75,2595.75,2595.75,2595.75,0
2021-11-08,2625.0,2625.0,2604.75,2604.75,2604.75,0
2021-11-09,2560.5,2560.5,2560.5,2560.5,2560.5,0
2021-11-10,2567.0,2567.0,2567.0,2567.0,2567.0,0
2021-11-11,2634.0,2634.0,2634.0,2634.0,2634.0,0
2021-11-12,2645.25,2645.25,2645.25,2645.25,2645.25,0
2021-11-15,2607.75,2607.75,2607.75,2607.75,2607.75,0
2021-11-16,2540.5,2540.5,2540.5,2540.5,2540.5,0
2021-11-17,2598.5,2598.5,2598.5,2598.5,2598.5,0
2021-11-18,2603.0,2603.0,2603.0,2603.0,2603.0,0
2021-11-19,2662.75,2662.75,2662.75,2662.75,2662.75,0
2021-11-22,2657.5,2657.5,2657.5,2657.5,2657.5,0
2021-11-23,2648.0,2648.0,2648.0,2648.0,2648.0,0
2021-11-24,2664.5,2664.5,2664.5,2664.5,2664.5,0
2021-11-26,2581.25,2581.25,2581.25,2581.25,2581.25,0
2021-11-29,2596.0,2596.0,2596.0,2596.0,2596.0,0
2021-11-30,2591.25,2591.25,2591.25,2591.25,2591.25,0
2021-12-01,2628.5,2628.5,2628.5,2628.5,2628.5,0
2021-12-02,2585.25,2585.25,2585.25,2585.25,2585.25,0
2021-12-03,2596.25,2596.25,2596.25,2596.25,2596.25,0
2021-12-06,2566.75,2566.75,2566.75,2566.75,2566.75,0
2021-12-07,2601.75,2601.75,2601.75,2601.75,2601.75,0
2021-12-08,2595.25,2595.25,2576.25,2576.25,2576.25,0
2021-12-09,2579.5,2579.5,2579.5,2579.5,2579.5,0
2021-12-10,2550.75,2550.75,2550.75,2550.75,2550.75,0
2021-12-13,2601.75,2601.75,2601.75,2601.75,2601.75,0
2021-12-14,2569.0,2569.0,2569.0,2569.0,2569.0,0
2021-12-15,2540.0,2540.0,2540.0,2540.0,2540.0,0
2021-12-16,2611.25,2611.25,2611.25,2611.25,2611.25,0
2021-12-17,2653.75,2653.75,2653.75,2653.75,2653.75,0
